Title,Metadata.Genres,Metadata.Publishers,Metrics.Review Score,Metrics.Sales,Metrics.Used Price,Release.Console,Release.Year
Super Mario 64 DS,Action,Nintendo,85,4.69,2044.403,Nintendo DS,2004
Lumines: Puzzle Fusion,Strategy,Ubisoft,89,0.56,1225.003,Sony PSP,2004
WarioWare Touched!,"Action,Racing / Driving,Sports",Nintendo,81,0.54,1880.523,Nintendo DS,2004
Hot Shots Golf: Open Tee,Sports,Sony,81,0.49,1061.123,Sony PSP,2004
Spider-Man 2,Action,Activision,61,0.45,1225.003,Nintendo DS,2004
The Urbz: Sims in the City,Simulation,EA,67,0.41,1061.123,Nintendo DS,2004
Ridge Racer,Racing / Driving,Namco,88,0.36,1634.703,Sony PSP,2004
Metal Gear Ac!d,Strategy,Konami,75,0.34,1470.823,Sony PSP,2004
Madden NFL 2005,Sports,EA,68,0.25,733.363,Nintendo DS,2004
Pokmon Dash,Racing / Driving,Nintendo,46,0.22,2044.403,Nintendo DS,2004
Dynasty Warriors,"Action,Adventure,Role-Playing (RPG)",,62,0.2,1225.003,Sony PSP,2004
Feel the Magic XY/XX,"Action,Adventure,Racing / Driving,Sports",Sega,75,0.16,733.363,Nintendo DS,2004
Ridge Racer DS,Racing / Driving,Namco,63,0.15,815.303,Nintendo DS,2004
Darkstalkers Chronicle: The Chaos Tower,Action,Capcom,74,0.14,1225.003,Sony PSP,2004
Ape Escape Academy,"Action,Sports",Sony,51,0.13,1225.003,Sony PSP,2004
Polarium,Strategy,Nintendo,73,0.12,733.363,Nintendo DS,2004
Asphalt: Urban GT,"Racing / Driving,Simulation",Ubisoft,60,0.11,1225.003,Nintendo DS,2004
Zoo Keeper,Action,,74,0.1,1225.003,Nintendo DS,2004
Mr. DRILLER: Drill Spirits,Action,Namco,72,0.09,1225.003,Nintendo DS,2004
Sprung,Adventure,Ubisoft,48,0.06,733.363,Nintendo DS,2004
Armored Core: Formula Front - Extreme Battle,"Action,Strategy",,66,0.05,1388.883,Sony PSP,2004
Puyo Pop Fever,"Action,Strategy",Sega,76,0.04,1634.703,Nintendo DS,2004
Mario Kart DS,Racing / Driving,Nintendo,91,9.99,2454.103,Nintendo DS,2005
Nintendogs,Simulation,Nintendo,83,9.72,2208.283,Nintendo DS,2005
Brain Age: Train Your Brain in Minutes a Day!,Action,Nintendo,77,5.07,1470.823,Nintendo DS,2005
Brain Agey: More Training in Minutes a Day!,Action,Nintendo,77,3.65,1470.823,Nintendo DS,2005
Grand Theft Auto: Liberty City Stories,"Action,Racing / Driving","Capcom,Rockstar",88,2.97,1470.823,Sony PSP,2005
Animal Crossing: Wild World,Simulation,Nintendo,86,2.6,2044.403,Nintendo DS,2005
Big Brain Academy,Action,Nintendo,74,1.77,1388.883,Nintendo DS,2005
Call of Duty 2,Action,"Activision,Konami",89,1.69,1470.823,X360,2005
Midnight Club 3: DUB Edition,Racing / Driving,Rockstar,74,1.69,1225.003,Sony PSP,2005
Need for Speed: Most Wanted 5-1-0,Racing / Driving,EA,72,1.67,1225.003,Sony PSP,2005
Pokmon Mystery Dungeon: Blue Rescue Team,Role-Playing (RPG),Nintendo,62,1.22,1225.003,Nintendo DS,2005
Sonic Rush,Action,Sega,82,1.2,1225.003,Nintendo DS,2005
Star Wars: Battlefront II,Action,,69,1.09,1388.883,Sony PSP,2005
SOCOM: U.S. Navy SEALs - Fireteam Bravo,Action,Sony,82,1.07,1225.003,Sony PSP,2005
Need for Speed: Most Wanted,Racing / Driving,EA,83,0.95,1470.823,X360,2005
Zoo Tycoon DS,"Simulation,Strategy",THQ,44,0.92,1061.123,Nintendo DS,2005
The Sims 2,"Role-Playing (RPG),Simulation",EA,70,0.83,1470.823,Nintendo DS,2005
Mario & Luigi: Partners in Time,"Action,Role-Playing (RPG)",Nintendo,86,0.75,2454.103,Nintendo DS,2005
Madden NFL 06,Sports,EA,75,0.75,651.423,Sony PSP,2005
Need for Speed Underground: Rivals,Racing / Driving,EA,74,0.73,1470.823,Sony PSP,2005
Twisted Metal: Head-On,"Action,Racing / Driving",Sony,79,0.73,1225.003,Sony PSP,2005
Perfect Dark Zero,Action,Microsoft,79,0.7,1470.823,X360,2005
Super Monkey Ball: Touch & Roll,Action,Sega,63,0.7,1306.943,Nintendo DS,2005
Super Princess Peach,Action,Nintendo,75,0.7,2454.103,Nintendo DS,2005
Burnout Legends,"Action,Racing / Driving",EA,86,0.68,1225.003,Sony PSP,2005
Madden NFL 06,Sports,EA,74,0.62,405.603,X360,2005
Clubhouse Games,Strategy,Nintendo,83,0.61,1470.823,Nintendo DS,2005
ATV Offroad Fury: Blazin' Trails,"Racing / Driving,Sports",Sony,63,0.56,1061.123,Sony PSP,2005
Untold Legends: Brotherhood of the Blade,"Action,Role-Playing (RPG)","Activision,Sony",68,0.56,1061.123,Sony PSP,2005
Tony Hawk's Underground 2: Remix,Sports,Activision,83,0.49,1225.003,Sony PSP,2005
The Sims 2,"Simulation,Strategy",EA,65,0.46,1225.003,Sony PSP,2005
WipEout Pure,"Action,Racing / Driving",Sony,88,0.45,1061.123,Sony PSP,2005
NBA Live 06,Sports,EA,80,0.42,815.303,Sony PSP,2005
WWE Smackdown vs. Raw 2006,"Action,Sports",THQ,81,0.38,1225.003,Sony PSP,2005
Dead or Alive 4,Action,,85,0.38,1470.823,X360,2005
Phoenix Wright: Ace Attorney,"Adventure,Simulation",Capcom,81,0.38,2044.403,Nintendo DS,2005
Spider-Man 2,Action,Activision,67,0.38,1225.003,Sony PSP,2005
NFL Street 2,Sports,EA,73,0.37,1470.823,Sony PSP,2005
Kirby: Canvas Curse,Action,Nintendo,86,0.37,1470.823,Nintendo DS,2005
Battlefield 2: Modern Combat,Action,EA,77,0.36,1388.883,X360,2005
Yoshi Touch & Go,Action,Nintendo,73,0.36,1470.823,Nintendo DS,2005
Tiger Woods PGA Tour 06,Sports,EA,71,0.33,815.303,X360,2005
Condemned: Criminal Origins,"Action,Adventure",Sega,81,0.33,1225.003,X360,2005
Peter Jackson's King Kong: The Official Game of...,Action,Ubisoft,80,0.32,1225.003,X360,2005
Castlevania: Dawn of Sorrow,"Action,Role-Playing (RPG)",Konami,89,0.31,1470.823,Nintendo DS,2005
SpongeBob SquarePants: The Yellow Avenger,Action,THQ,67,0.31,1143.063,Nintendo DS,2005
Marvel Nemesis: Rise of the Imperfects ,Action,EA,58,0.31,1470.823,Sony PSP,2005
Kameo: Elements of Power,Action,Microsoft,79,0.31,979.183,X360,2005
Advance Wars: Dual Strike,Strategy,Nintendo,90,0.3,1470.823,Nintendo DS,2005
Trauma Center: Under the Knife,"Action,Simulation",Nintendo,81,0.3,1306.943,Nintendo DS,2005
Coded Arms,Action,Konami,59,0.3,1061.123,Sony PSP,2005
NBA LIVE 06 ,Sports,EA,64,0.29,405.603,X360,2005
Tony Hawk's American Wasteland,Sports,Activision,75,0.29,1225.003,X360,2005
Star Wars: Episode III - Revenge of the Sith,Action,Ubisoft,73,0.28,1388.883,Nintendo DS,2005
Capcom Classics Collection Remixed,Action,Capcom,72,0.28,1470.823,Sony PSP,2005
Madagascar,Adventure,Activision,66,0.27,1225.003,Nintendo DS,2005
X-Men: Legends II - Rise of Apocalypse,"Action,Role-Playing (RPG)",Activision,84,0.27,1470.823,Sony PSP,2005
Quake 4,Action,Activision,75,0.27,1225.003,X360,2005
Pokmon Trozei!,Strategy,Nintendo,74,0.26,1634.703,Nintendo DS,2005
Need for Speed: Most Wanted,Racing / Driving,EA,45,0.25,1306.943,Nintendo DS,2005
Mega Man Maverick Hunter X,Action,Capcom,79,0.25,1470.823,Sony PSP,2005
Metroid Prime Pinball,"Action,Simulation",Nintendo,79,0.22,1470.823,Nintendo DS,2005
NBA 06,Sports,Sony,72,0.22,815.303,Sony PSP,2005
GUN ,"Action,Racing / Driving,Role-Playing (RPG)",Activision,75,0.22,1634.703,X360,2005
NBA 2K6 ,Sports,2K,81,0.22,405.603,X360,2005
Pinball Hall of Fame: The Gottlieb Collection,Action,,73,0.21,815.303,Sony PSP,2005
Harry Potter and the Goblet of Fire,Action,EA,68,0.21,1470.823,Nintendo DS,2005
Tony Hawk's American Sk8land,Sports,Activision,84,0.21,1388.883,Nintendo DS,2005
MVP Baseball,Sports,EA,67,0.21,405.603,Sony PSP,2005
Tiger Woods PGA Tour,Sports,EA,78,0.21,1470.823,Sony PSP,2005
World Series of Poker,"Sports,Strategy",Activision,37,0.21,1225.003,Sony PSP,2005
SSX on Tour,Sports,EA,79,0.2,1388.883,Sony PSP,2005
Tiger Woods PGA Tour 06,Sports,EA,80,0.2,815.303,Sony PSP,2005
Death Jr.,Action,Konami,61,0.19,815.303,Sony PSP,2005
Harry Potter and the Goblet of Fire,Action,EA,70,0.19,1470.823,Sony PSP,2005
MediEvil Resurrection,Action,Sony,66,0.19,1470.823,Sony PSP,2005
"The Chronicles of Narnia: The Lion, the Witch a...","Action,Role-Playing (RPG)",,65,0.18,1061.123,Nintendo DS,2005
Shrek SuperSlam,Action,Activision,56,0.18,979.183,Nintendo DS,2005
Virtua Tennis: World Tour,Sports,Sega,84,0.18,1225.003,Sony PSP,2005
Prince of Persia: Revelations,Action,Ubisoft,65,0.17,569.483,Sony PSP,2005
Burnout Legends,"Action,Racing / Driving",EA,38,0.16,1470.823,Nintendo DS,2005
Meteos,Strategy,Nintendo,88,0.16,1306.943,Nintendo DS,2005
Spyro: Shadow Legacy,Role-Playing (RPG),,50,0.15,1470.823,Nintendo DS,2005
The Con,Action,Sony,63,0.15,733.363,Sony PSP,2005
Infected,Action,,74,0.15,1470.823,Sony PSP,2005
Pursuit Force,"Action,Racing / Driving",Sony,75,0.14,1225.003,Sony PSP,2005
Kingdom of Paradise,"Action,Role-Playing (RPG)",Sony,72,0.13,1061.123,Sony PSP,2005
Dragon Ball Z: Supersonic Warriors 2,Action,Atari,66,0.13,1880.523,Nintendo DS,2005
Dragon Quest Heroes: Rocket Slime,Action,SquareEnix,83,0.13,1061.123,Nintendo DS,2005
Dead to Rights: Reckoning,Action,Namco,54,0.13,1225.003,Sony PSP,2005
Amped 3,Sports,2K,72,0.13,1225.003,X360,2005
Break 'em All,Action,,68,0.12,1470.823,Nintendo DS,2005
Lunar: Dragon Song,Role-Playing (RPG),Ubisoft,59,0.12,1225.003,Nintendo DS,2005
Madden NFL 06,Sports,EA,66,0.12,815.303,Nintendo DS,2005
Retro Atari Classics,"Action,Racing / Driving,Simulation",Atari,51,0.12,1061.123,Nintendo DS,2005
True Swing Golf,Sports,Nintendo,66,0.12,1225.003,Nintendo DS,2005
FIFA Soccer,Sports,EA,73,0.12,1225.003,Sony PSP,2005
Metal Gear Ac!d 2,Strategy,Konami,80,0.12,1061.123,Sony PSP,2005
ATV Quad Frenzy,"Racing / Driving,Sports",,35,0.11,1225.003,Nintendo DS,2005
Bomberman,Strategy,Ubisoft,75,0.11,1470.823,Nintendo DS,2005
GoldenEye: Rogue Agent,Action,EA,58,0.11,1225.003,Nintendo DS,2005
Need for Speed Underground 2,Racing / Driving,EA,65,0.11,1880.523,Nintendo DS,2005
Frogger: Helmet Chaos,Action,Konami,66,0.11,1634.703,Sony PSP,2005
The Lord of the Rings: Tactics,"Role-Playing (RPG),Strategy",EA,64,0.11,1634.703,Sony PSP,2005
Rengoku: The Tower of Purgatory,"Action,Role-Playing (RPG)",Konami,43,0.11,1061.123,Sony PSP,2005
Gretzky NHL,Sports,Sony,61,0.1,815.303,Sony PSP,2005
Ridge Racer 6,Racing / Driving,"EA,Namco",74,0.1,1225.003,X360,2005
Ford Racing 3,"Action,Racing / Driving",,49,0.1,1225.003,Nintendo DS,2005
NHL 2K6 ,Sports,2K,75,0.1,487.543,X360,2005
Bust-a-Move DS,"Action,Strategy",,75,0.09,1470.823,Nintendo DS,2005
Battles of Prince of Persia,Strategy,Ubisoft,64,0.09,1225.003,Nintendo DS,2005
GripShift,Racing / Driving,Ubisoft,70,0.09,815.303,Sony PSP,2005
Marvel Nemesis: Rise of the Imperfects ,Action,EA,34,0.08,1225.003,Nintendo DS,2005
Scooby-Doo! Unmasked,Action,THQ,60,0.08,1470.823,Nintendo DS,2005
Viewtiful Joe: Double Trouble!,Action,Capcom,73,0.08,1225.003,Nintendo DS,2005
The Legend of Heroes: A Tear of Vermillion,Role-Playing (RPG),,68,0.08,1470.823,Sony PSP,2005
PQ: Practical Intelligence Quotient,Strategy,,69,0.08,1225.003,Sony PSP,2005
Lost in Blue,Role-Playing (RPG),Konami,69,0.07,2044.403,Nintendo DS,2005
Ghost in the Shell: Stand Alone Complex,Action,Sony,61,0.07,1225.003,Sony PSP,2005
Dig Dug: Digging Strike,Action,Namco,65,0.06,1388.883,Nintendo DS,2005
Frogger: Helmet Chaos,Action,Konami,69,0.06,1470.823,Nintendo DS,2005
Mega Man Battle Network 5: Double Team DS,"Action,Role-Playing (RPG)",Capcom,68,0.06,1470.823,Nintendo DS,2005
Nanostray,Action,THQ,71,0.06,1470.823,Nintendo DS,2005
Sega Casino,Simulation,Sega,61,0.06,1470.823,Nintendo DS,2005
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,"Action,Adventure",Konami,58,0.06,1470.823,Nintendo DS,2005
Pac-Man World 3,Action,"EA,Namco",61,0.06,2044.403,Sony PSP,2005
Tokobot,Strategy,,72,0.06,1470.823,Sony PSP,2005
Fullmetal Alchemist: Dual Sympathy,Action,,58,0.05,1225.003,Nintendo DS,2005
Exit,Action,Ubisoft,77,0.05,815.303,Sony PSP,2005
Bubble Bobble Revolution,Action,,38,0.04,1470.823,Nintendo DS,2005
The Rub Rabbits!,"Action,Adventure",Sega,68,0.02,1470.823,Nintendo DS,2005
Electroplankton,Simulation,Nintendo,71,0.01,2454.103,Nintendo DS,2005
LifeSigns: Surgical Unit,"Simulation,Strategy",,61,0.01,1880.523,Nintendo DS,2005
Space Invaders Revolution,Action,,49,0.01,1143.063,Nintendo DS,2005
Wii Play,"Action,Sports",Nintendo,58,14.66,1225.003,Nintendo Wii,2006
New Super Mario Bros.,Action,Nintendo,89,10.03,2290.223,Nintendo DS,2006
Pokmon Diamond,Role-Playing (RPG),Nintendo,85,6.77,2290.223,Nintendo DS,2006
Pokmon Pearl,Role-Playing (RPG),Nintendo,85,6.77,2208.283,Nintendo DS,2006
Gears of War,Action,Microsoft,94,3.7,1634.703,X360,2006
The Legend of Zelda: Twilight Princess,"Action,Role-Playing (RPG)",Nintendo,95,3.33,3273.503,Nintendo Wii,2006
Cooking Mama,Simulation,,67,2.9,1470.823,Nintendo DS,2006
Marvel Ultimate Alliance,"Action,Role-Playing (RPG)",Activision,82,2.42,1225.003,X360,2006
Daxter,Action,Sony,85,2.38,1225.003,Sony PSP,2006
The Elder Scrolls IV: Oblivion,"Action,Role-Playing (RPG)",2K,94,2.12,1634.703,X360,2006
Madden NFL 07,Sports,EA,80,1.77,405.603,X360,2006
Grand Theft Auto: Vice City Stories,"Action,Racing / Driving",Rockstar,86,1.72,1470.823,Sony PSP,2006
Resistance: Fall of Man,Action,Sony,86,1.61,1634.703,PlayStation 3,2006
MotorStorm,"Action,Racing / Driving,Sports",Sony,82,1.58,1388.883,PlayStation 3,2006
Call of Duty 3,Action,Activision,82,1.51,1388.883,X360,2006
Yoshi's Island DS,Action,Nintendo,81,1.49,2290.223,Nintendo DS,2006
Tom Clancy's Ghost Recon: Advanced Warfighter,Action,Ubisoft,90,1.46,1225.003,X360,2006
Fight Night Round 3,"Action,Sports",EA,86,1.4,1225.003,X360,2006
Pokmon Ranger,Role-Playing (RPG),Nintendo,69,1.36,1634.703,Nintendo DS,2006
Rayman Raving Rabbids,Action,Ubisoft,76,1.26,1470.823,Nintendo Wii,2006
Saints Row,"Action,Racing / Driving",THQ,81,1.23,1225.003,X360,2006
Tom Clancy's Rainbow Six: Vegas,Action,Ubisoft,88,1.19,1225.003,X360,2006
Dead Rising,Action,Capcom,85,1.16,1388.883,X360,2006
Call of Duty 3,Action,Activision,69,1.15,1634.703,Nintendo Wii,2006
Lost Planet: Extreme Condition,Action,Capcom,79,1.15,1061.123,X360,2006
Mario Hoops 3 on 3,Sports,Nintendo,69,1.03,1880.523,Nintendo DS,2006
LEGO Star Wars II: The Original Trilogy,Action,EA,47,1.02,1470.823,Nintendo DS,2006
Super Monkey Ball: Banana Blitz,Action,Sega,74,1,1225.003,Nintendo Wii,2006
The Sims 2: Pets,Simulation,EA,49,0.97,1225.003,Nintendo DS,2006
Need for Speed: Carbon - Own the City,Racing / Driving,EA,73,0.93,1388.883,Sony PSP,2006
WarioWare: Smooth Moves,"Action,Racing / Driving,Sports",Nintendo,83,0.9,3273.503,Nintendo Wii,2006
Fight Night Round 3,"Action,Sports",EA,83,0.86,1143.063,PlayStation 3,2006
Final Fantasy III,Role-Playing (RPG),SquareEnix,77,0.86,1470.823,Nintendo DS,2006
SOCOM: U.S. Navy SEALs - Fireteam Bravo 2,Action,Sony,81,0.86,1388.883,Sony PSP,2006
Madden NFL 07,Sports,EA,78,0.83,815.303,Sony PSP,2006
Monster 4x4: World Circuit,Racing / Driving,Ubisoft,51,0.82,1061.123,Nintendo Wii,2006
Kirby: Squeak Squad,Action,Nintendo,71,0.82,2290.223,Nintendo DS,2006
Pokmon Battle Revolution,"Action,Strategy",Nintendo,53,0.81,3273.503,Nintendo Wii,2006
Medal of Honor: Heroes,Action,EA,71,0.81,1225.003,Sony PSP,2006
Tekken: Dark Resurrection,Action,"Namco,Sony",88,0.81,1470.823,Sony PSP,2006
Need for Speed: Carbon,Racing / Driving,EA,77,0.78,1388.883,X360,2006
Mario vs. Donkey Kong 2: March of the Minis,Action,Nintendo,76,0.77,2290.223,Nintendo DS,2006
Sonic Rivals,"Action,Racing / Driving",Sega,64,0.76,1470.823,Sony PSP,2006
NCAA Football 07,Sports,EA,79,0.7,405.603,X360,2006
Mortal Kombat: Unchained,Action,Midway,70,0.67,1470.823,Sony PSP,2006
Tom Clancy's Splinter Cell: Double Agent,Action,Ubisoft,85,0.67,1470.823,X360,2006
Tetris DS,Strategy,Nintendo,84,0.66,1470.823,Nintendo DS,2006
LEGO Star Wars II: The Original Trilogy,Action,,83,0.61,1470.823,Sony PSP,2006
Red Steel,Action,Ubisoft,63,0.58,1225.003,Nintendo Wii,2006
Metroid Prime: Hunters,Action,Nintendo,85,0.58,2290.223,Nintendo DS,2006
LEGO Star Wars II: The Original Trilogy,Action,,81,0.57,1225.003,X360,2006
NBA 2K7 ,Sports,2K,84,0.56,405.603,X360,2006
SEGA Genesis Collection,"Action,Racing / Driving,Role-Playing (RPG),Strategy",Sega,82,0.55,1470.823,Sony PSP,2006
Call of Duty 3,Action,Activision,80,0.52,1634.703,PlayStation 3,2006
NBA Live 07,Sports,EA,64,0.51,651.423,Sony PSP,2006
Madden NFL 07,Sports,EA,76,0.49,569.483,PlayStation 3,2006
SpongeBob SquarePants: The Yellow Avenger,Action,THQ,48,0.49,1061.123,Sony PSP,2006
Madden NFL 07,Sports,EA,81,0.48,815.303,Nintendo Wii,2006
Fight Night Round 3,"Action,Simulation,Sports",EA,74,0.48,1388.883,Sony PSP,2006
Need for Speed: Carbon,Racing / Driving,EA,75,0.47,1470.823,PlayStation 3,2006
Need for Speed: Carbon,Racing / Driving,EA,67,0.47,1470.823,Nintendo Wii,2006
WWE SmackDown vs. Raw 2007,Sports,THQ,81,0.45,1061.123,X360,2006
Tiger Woods PGA Tour 07,Sports,EA,80,0.45,815.303,X360,2006
Viva Pi$?ata,"Simulation,Strategy",Microsoft,84,0.44,1388.883,X360,2006
SpongeBob Squarepants: Creature from the Krusty Krab,"Action,Adventure",THQ,57,0.44,1225.003,Nintendo Wii,2006
Tony Hawk's Project 8,Sports,Activision,68,0.42,1470.823,Sony PSP,2006
Tony Hawk's Project 8,Sports,Activision,81,0.42,1388.883,X360,2006
NBA LIVE 07 ,Sports,EA,59,0.42,405.603,X360,2006
Excite Truck,Racing / Driving,Nintendo,72,0.4,1634.703,Nintendo Wii,2006
Harvest Moon DS,"Role-Playing (RPG),Simulation",,67,0.4,1470.823,Nintendo DS,2006
Star Fox Command,Action,Nintendo,76,0.39,1225.003,Nintendo DS,2006
Metal Gear Solid: Portable Ops,"Action,Strategy",Konami,87,0.39,1470.823,Sony PSP,2006
Marvel Ultimate Alliance,"Action,Role-Playing (RPG)",Activision,73,0.38,1470.823,Nintendo Wii,2006
Blazing Angels: Squadrons of WWII,Action,Ubisoft,66,0.37,1388.883,X360,2006
Major League Baseball 2K6,Sports,2K,66,0.37,405.603,X360,2006
NCAA Football 07,Sports,EA,75,0.36,815.303,Sony PSP,2006
MLB 06: The Show,Sports,Sony,83,0.35,815.303,Sony PSP,2006
Blazing Angels: Squadrons of WWII,Action,Ubisoft,67,0.35,1388.883,PlayStation 3,2006
WWE SmackDown vs. Raw 2007,Sports,THQ,78,0.34,1225.003,Sony PSP,2006
Rune Factory: A Fantasy Harvest Moon,"Role-Playing (RPG),Simulation",,78,0.34,2044.403,Nintendo DS,2006
Marvel Ultimate Alliance,"Action,Role-Playing (RPG)",Activision,81,0.34,1880.523,Sony PSP,2006
Marvel Ultimate Alliance,"Action,Role-Playing (RPG)",Activision,78,0.33,2044.403,PlayStation 3,2006
Tiger Woods PGA Tour 07,Sports,EA,81,0.32,1225.003,PlayStation 3,2006
Ace Combat X: Skies of Deception,"Action,Simulation",Namco,75,0.32,1880.523,Sony PSP,2006
Killzone: Liberation,"Action,Strategy",Sony,77,0.32,1388.883,Sony PSP,2006
F.E.A.R.: First Encounter Assault Recon,Action,,85,0.32,1470.823,X360,2006
NBA 2K7,Sports,2K,80,0.31,651.423,PlayStation 3,2006
Tony Hawk's Project 8,Sports,Activision,76,0.3,1225.003,PlayStation 3,2006
Avatar: The Last Airbender,Action,THQ,64,0.3,1470.823,Nintendo DS,2006
Castlevania: Portrait of Ruin,Action,Konami,85,0.3,1470.823,Nintendo DS,2006
Hitman: Blood Money,Action,Eidos,82,0.29,1880.523,X360,2006
Rockstar Games presents Table Tennis,Sports,Rockstar,81,0.28,815.303,X360,2006
Trauma Center: Second Opinion,"Action,Simulation",Nintendo,80,0.28,1470.823,Nintendo Wii,2006
Tenchu Z,Action,Microsoft,56,0.28,1225.003,X360,2006
Elite Beat Agents,Action,Nintendo,87,0.27,815.303,Nintendo DS,2006
Street Fighter Alpha 3 MAX,Action,Capcom,80,0.27,1225.003,Sony PSP,2006
Blue Dragon,Role-Playing (RPG),Microsoft,79,0.27,1225.003,X360,2006
The Lord of the Rings: The Battle for Middle Ea...,Strategy,EA,79,0.27,1634.703,X360,2006
Prey,Action,2K,79,0.27,1225.003,X360,2006
Over the Hedge,Adventure,Activision,71,0.26,1388.883,Nintendo DS,2006
Capcom Classics Collection Reloaded,Action,Capcom,75,0.26,1470.823,Sony PSP,2006
Pirates of the Caribbean: Dead Man's Chest,Action,,52,0.26,1225.003,Sony PSP,2006
NHL 07 ,Sports,EA,79,0.26,487.543,X360,2006
Monster Hunter Freedom,"Action,Strategy",Capcom,71,0.25,1061.123,Sony PSP,2006
Chromehounds,"Action,Simulation,Strategy",Sega,71,0.25,1225.003,X360,2006
Test Drive Unlimited,Racing / Driving,Atari,82,0.25,1470.823,X360,2006
Dragon Ball Z: Budokai Tenkaichi 2,Action,Atari,72,0.24,1225.003,Nintendo Wii,2006
Dragon Quest Monsters: Joker,Role-Playing (RPG),SquareEnix,75,0.24,1225.003,Nintendo DS,2006
Pirates of the Caribbean: Dead Man's Chest,Action,,63,0.24,979.183,Nintendo DS,2006
NFL Street 3,"Action,Sports",EA,68,0.24,1225.003,Sony PSP,2006
Syphon Filter: Dark Mirror,Action,Sony,87,0.24,1061.123,Sony PSP,2006
NBA 07,Sports,Sony,63,0.23,569.483,PlayStation 3,2006
Ridge Racer 7,Racing / Driving,"Namco,Sony",78,0.23,1634.703,PlayStation 3,2006
The Outfit,Action,THQ,70,0.23,1225.003,X360,2006
Elebits,Action,Konami,75,0.22,1225.003,Nintendo Wii,2006
Tony Hawk's Downhill Jam,"Racing / Driving,Sports",Activision,76,0.22,1225.003,Nintendo DS,2006
The Sims 2: Pets,Simulation,EA,57,0.21,1470.823,Sony PSP,2006
Tiger Woods PGA Tour 07,Sports,EA,78,0.21,1061.123,Sony PSP,2006
Thrillville,"Simulation,Strategy",Atari,72,0.2,1225.003,Sony PSP,2006
The Godfather: The Game,Action,EA,77,0.2,1470.823,X360,2006
Rampage: Total Destruction,Action,Midway,46,0.19,1388.883,Nintendo Wii,2006
College Hoops 2K7,Sports,2K,82,0.19,569.483,X360,2006
Far Cry: Instincts - Predator,Action,Ubisoft,78,0.19,1470.823,X360,2006
Full Auto,"Action,Racing / Driving",Sega,70,0.19,1388.883,X360,2006
Age of Empires: The Age of Kings,Strategy,,80,0.19,1470.823,Nintendo DS,2006
Need for Speed: Carbon - Own the City,"Action,Racing / Driving",EA,70,0.19,1225.003,Nintendo DS,2006
Brothers in Arms: D-Day,Action,Ubisoft,65,0.19,569.483,Sony PSP,2006
Family Guy Video Game!,Action,2K,51,0.19,1634.703,Sony PSP,2006
Superman Returns,Action,EA,51,0.19,651.423,X360,2006
Over G Fighters,Simulation,Ubisoft,49,0.18,1470.823,X360,2006
Final Fantasy XI Online,"Action,Role-Playing (RPG)",SquareEnix,66,0.18,405.603,X360,2006
Mystery Dungeon: Shiren the Wanderer,"Action,Role-Playing (RPG)",Sega,69,0.17,1470.823,Nintendo DS,2006
Phoenix Wright: Ace Attorney - Justice for All,"Adventure,Simulation",Capcom,76,0.17,1143.063,Nintendo DS,2006
Justice League Heroes,Action,,72,0.17,1470.823,Sony PSP,2006
Valhalla Knights,"Action,Role-Playing (RPG)",,53,0.17,1388.883,Sony PSP,2006
Genji: Days of the Blade,"Action,Role-Playing (RPG)",Sony,55,0.17,1225.003,PlayStation 3,2006
Top Spin 2,Sports,2K,75,0.16,1061.123,X360,2006
Field Commander,Strategy,"Sony,Ubisoft",77,0.16,1225.003,Sony PSP,2006
Children of Mana,"Action,Role-Playing (RPG)","Nintendo,SquareEnix",65,0.16,1388.883,Nintendo DS,2006
Valkyrie Profile: Lenneth,Role-Playing (RPG),SquareEnix,80,0.16,1880.523,Sony PSP,2006
Monster House,Action,THQ,62,0.15,1225.003,Nintendo DS,2006
Enchanted Arms,Role-Playing (RPG),Ubisoft,69,0.15,1470.823,X360,2006
